experiment_folder,filename,plasmid,amount
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L_1_MMStack_Pos0_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L_1_MMStack_Pos1_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L_1_MMStack_Pos10_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L_1_MMStack_Pos11_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L_1_MMStack_Pos12_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L_1_MMStack_Pos13_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L_1_MMStack_Pos14_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L_1_MMStack_Pos15_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L_1_MMStack_Pos16_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L_1_MMStack_Pos17_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L_1_MMStack_Pos18_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L_1_MMStack_Pos19_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L_1_MMStack_Pos2_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L_1_MMStack_Pos3_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L_1_MMStack_Pos4_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L_1_MMStack_Pos5_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L_1_MMStack_Pos6_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L_1_MMStack_Pos7_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L_1_MMStack_Pos8_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L_1_MMStack_Pos9_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx2_miR-L,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx4_miR-L_1_MMStack_Pos0_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx4_miR-L,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx4_miR-L_1_MMStack_Pos1_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx4_miR-L,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx4_miR-L_1_MMStack_Pos10_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx4_miR-L,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx4_miR-L_1_MMStack_Pos11_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx4_miR-L,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx4_miR-L_1_MMStack_Pos12_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx4_miR-L,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx4_miR-L_1_MMStack_Pos13_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx4_miR-L,250 ng
